hit_id,analysis_id,conversation_id,tag_id,tag_name,created_at,reason
1467,623,135,26,起球,2026-02-01 19:41:05.213021,客户明确咨询商品是否会起球，属于起球相关问题。
1766,760,322,26,起球,2026-02-01 20:12:09.911944,买家明确提到评论反馈“起球”，属于产品质量担忧点。
2355,1001,679,26,起球,2026-02-01 21:10:16.227276,买家明确询问是否会起球，属于起球相关关注点。
2356,1002,680,26,起球,2026-02-01 21:10:29.464733,买家明确询问是否容易起球，属于起球相关关注点。
2410,1023,711,24,色差,2026-02-01 21:16:00.082181,买家明确表达同款颜色与看到的内容差异很大，属于色差/颜色不一致的担忧点。
2894,1227,1016,34,图片/描述与实物不符,2026-02-01 22:07:21.718664,买家指出页面/链接展示与其所问裙子细节不一致（褶皱、前面不一样），属于“图片/描述与实物不符/页面不一致”的质疑点。
3200,1347,1196,26,起球,2026-02-01 22:36:15.170695,买家明确询问“起球吗”，属于起球关注点。
3232,1363,1217,26,起球,2026-02-01 22:39:40.606367,客户明确咨询商品是否会起球，属于起球相关问题。
3329,1402,1275,26,起球,2026-02-01 22:48:48.843777,买家明确咨询“起球”。
3551,1495,1422,26,起球,2026-02-01 23:11:12.569846,客户直接询问是否起球，属于起球相关关注点/潜在质量疑虑。
3581,1505,1435,26,起球,2026-02-01 23:13:48.540494,买家明确询问“起球吗”，命中起球相关质量关注。
4147,1741,1810,29,面料不适（刺痒/扎/闷）,2026-02-02 00:11:37.426447,客户明确询问“扎人么”，属于面料触感不适风险点（刺/扎）。
4401,1858,1990,26,起球,2026-02-02 00:38:02.000908,客户明确询问是否会起球，属于起球相关关注点/潜在质量疑虑。
4452,1880,2024,26,起球,2026-02-02 00:42:57.984441,买家明确询问是否起球，属于起球相关关注点。
4656,1963,2149,26,起球,2026-02-02 01:03:20.779018,客户明确询问是否容易起球，属于起球相关关注点。
4657,1963,2149,29,面料不适（刺痒/扎/闷）,2026-02-02 01:03:20.779121,客户明确询问高领是否扎人，属于面料触感刺痒/扎的担忧。
4706,1982,2176,27,掉色/褪色,2026-02-02 01:07:58.118110,买家直接询问洗涤是否掉色，属于掉色/褪色关注点（产品质量风险点）。
4828,2028,2250,34,图片/描述与实物不符,2026-02-02 01:19:35.965672,买家明确反馈页面图片/详情图与链接售卖款式细节不一致（扣子/排扣），属于描述与实物（或页面信息）不符类疑虑。
5351,2247,2555,26,起球,2026-02-02 02:26:10.093597,买家明确询问是否会起球，属于起球相关质量关注点。
5552,2318,2665,24,色差,2026-02-02 02:47:10.419138,客户明确表达颜色与看到的不一致，属于色差/颜色不一致的担忧点。
5793,2411,2911,26,起球,2026-02-02 03:11:08.619457,买家明确提到“起球”，属于产品质量关注点。
5842,2427,2952,26,起球,2026-02-02 03:15:33.748057,买家明确询问是否起球，属于起球相关关注点。
5866,2437,2979,34,图片/描述与实物不符,2026-02-02 03:18:05.179849,买家反馈兑换商品页面/图片与点进去展示不一致，属于“图片/描述与实物（页面）不符”的指向性表述。
6128,2532,3266,27,掉色/褪色,2026-02-02 03:42:53.006921,买家明确咨询牛仔衣是否掉色，属于掉色/褪色关注点。
6129,2532,3266,24,色差,2026-02-02 03:42:53.007019,买家明确追问是否有色差，属于色差关注点。
6302,2592,3439,26,起球,2026-02-02 03:59:18.396266,客户明确询问是否会起球，属于起球相关关注点。
6677,2747,3857,26,起球,2026-02-02 04:37:08.075658,客户明确询问商品是否起球，属于起球相关质量关注点。
6718,2767,3910,26,起球,2026-02-02 04:41:46.129214,客户明确询问是否起球，属于起球相关质量关注点。
7279,3026,4755,26,起球,2026-02-02 05:44:56.266837,买家明确询问“起球吗”，属于起球相关质量关注点。
7575,3178,5219,26,起球,2026-02-02 06:22:33.937614,客户直接询问是否会起球，属于起球风险关注点。
7701,3232,5377,26,起球,2026-02-02 06:37:26.271276,客户明确询问“起球？”，属于起球相关质量关注点。
7857,3294,5558,26,起球,2026-02-02 06:54:38.915782,买家明确询问套装是否起球，涉及“起球”问题。
7880,3305,5587,27,掉色/褪色,2026-02-02 06:57:35.324866,客户明确询问是否掉色，属于掉色/褪色相关关注点。
8110,3413,5892,27,掉色/褪色,2026-02-02 07:26:18.488214,买家询问是否掉色，属于掉色/褪色相关质量关注点。
8206,3457,6004,26,起球,2026-02-02 07:38:41.144734,客户明确咨询是否起球，属于起球相关问题。
8436,3571,6291,24,色差,2026-02-02 08:08:26.232025,买家表达颜色与预期不符（疑似色差/滤镜导致的颜色差异），属于颜色不一致的投诉点。
